feature,importance
spectral_entropy,1.647994751883011
PU_Signal_Strength,0.004697439636872874
power_dB,0.004697439636872874
SU3_temporal_cov__q25,0.002252635996910695
SU3_cov_flat__q25,0.002252635996910695
SU2_temporal_cov__q25,0.0021623651179069245
SU2_cov_flat__q25,0.0021623651179069245
SU3_cov_flat__energy,0.0018746247114345602
SU3_temporal_cov__energy,0.0018746247114345563
SU1_temporal_cov__q25,0.0018356788341573813
SU1_cov_flat__q25,0.0018356788341573813
SU3_temporal_cov_26,0.0014034913843311233
SU3_cov_flat_2,0.0014034913843311233
SU3_cov_flat_1,0.0014034913843311233
SU3_temporal_cov_25,0.0014034913843311233
SU3_temporal_cov_17,0.0014034913843311233
SU3_temporal_cov_10,0.0014034913843311233
SU3_temporal_cov_9,0.0014034913843311233
SU3_temporal_cov_18,0.0014034913843311233
SU3_temporal_cov_2,0.0014034913843311233
SU3_temporal_cov_1,0.0014034913843311233
SU3_temporal_cov_13,0.0014034913842634448
SU3_temporal_cov_14,0.0014034913842634448
SU3_temporal_cov_5,0.0014034913842634448
SU3_temporal_cov_6,0.0014034913842634448
SU3_cov_flat_6,0.0014034913842634448
SU3_temporal_cov_29,0.0014034913842634448
SU3_cov_flat_5,0.0014034913842634448
SU3_temporal_cov_21,0.0014034913842634448
SU3_temporal_cov_22,0.0014034913842634448
SU3_temporal_cov_30,0.0014034913842634448
SU3_cov_flat__median,0.0014034913828807403
SU3_temporal_cov__median,0.0014034913828807403
SU3_cov_flat__mean,0.001403491382347987
SU3_temporal_cov__mean,0.0014034913823479862
SU3_temporal_cov_0,0.0014034913803648477
SU3_temporal_cov_3,0.0014034913803648477
SU3_temporal_cov_19,0.0014034913803648477
SU3_temporal_cov_8,0.0014034913803648477
SU3_temporal_cov_27,0.0014034913803648477
SU3_temporal_cov_11,0.0014034913803648477
SU3_temporal_cov_24,0.0014034913803648477
SU3_cov_flat_0,0.0014034913803648477
SU3_cov_flat_3,0.0014034913803648477
SU3_temporal_cov_16,0.0014034913803648477
SU3_temporal_cov__q75,0.0011935727180173662
SU3_cov_flat__q75,0.0011935727180173662
SU1_temporal_cov__energy,0.0011103074635645503
SU1_cov_flat__energy,0.001110307463564549
freq_bin,0.0010474096868211345
SU2_cov_flat__zero_cross_rate,0.0009997547896133465
SU2_temporal_cov__zero_cross_rate,0.0009997547896130425
SU3_cov_flat__iqr,0.0009585172050054786
SU3_temporal_cov__iqr,0.0009585172050054786
SU3_temporal_cov__min,0.0009585172045258934
SU3_cov_flat__min,0.0009585172045258934
SU3_temporal_cov__abs_mean,0.0009585172038731447
SU3_temporal_cov__l1_energy,0.0009585172038731447
SU3_cov_flat__l1_energy,0.0009585172038731446
SU3_cov_flat__abs_mean,0.0009585172038731446
SU3_cov_flat__l2_energy,0.0009585172038731443
SU3_temporal_cov__l2_energy,0.0009585172038731442
SU3_cov_flat__std,0.0009585172038022956
SU3_temporal_cov__std,0.0009585172038022934
SU3_cov_flat__range,0.000958517203593446
SU3_temporal_cov__range,0.000958517203593446
SU3_cov_flat__variation,0.0009585172027837568
SU3_temporal_cov__variation,0.0009585172027150203
SU3_cov_flat__max,0.000958517202661006
SU3_temporal_cov__max,0.000958517202661006
SU1_temporal_cov_6,0.0008909550823460443
SU1_cov_flat_6,0.0008909550823460443
SU1_cov_flat_5,0.0008909550823460443
SU1_temporal_cov_22,0.0008909550823460443
SU1_temporal_cov_21,0.0008909550823460443
SU1_temporal_cov_5,0.0008909550823460443
SU1_temporal_cov_14,0.0008909550823460443
SU1_temporal_cov_13,0.0008909550823460443
SU1_temporal_cov_29,0.0008909550823460443
SU1_temporal_cov_30,0.0008909550823460443
SU1_temporal_cov__median,0.0008909550815756822
SU1_cov_flat__median,0.0008909550815756822
SU1_temporal_cov_16,0.0008909550813476247
SU1_temporal_cov_11,0.0008909550813476247
SU1_temporal_cov_19,0.0008909550813476247
SU1_temporal_cov_27,0.0008909550813476247
SU1_temporal_cov_24,0.0008909550813476247
SU1_cov_flat_0,0.0008909550813476247
SU1_temporal_cov_8,0.0008909550813476247
SU1_temporal_cov_0,0.0008909550813476247
SU1_temporal_cov_3,0.0008909550813476247
SU1_cov_flat_3,0.0008909550813476247
SU1_temporal_cov__mean,0.0008909550805515911
SU1_cov_flat__mean,0.0008909550805515906
SU1_temporal_cov_9,0.00089095507975556
SU1_temporal_cov_1,0.00089095507975556
SU1_temporal_cov_2,0.00089095507975556
SU1_temporal_cov_10,0.00089095507975556
SU1_temporal_cov_25,0.00089095507975556
SU1_temporal_cov_26,0.00089095507975556
SU1_temporal_cov_17,0.00089095507975556
SU1_temporal_cov_18,0.00089095507975556
SU1_cov_flat_1,0.00089095507975556
SU1_cov_flat_2,0.00089095507975556
